"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000229005",18.1522880885275,-4.10338901234314,0.64765982586582,-6.33571644938383,2.36240904602311e-10,2.04439244367385e-08
"ENSG00000223956",11.2034621638264,-4.76160060676394,0.754012974402838,-6.31501150299838,2.70141381964674e-10,2.31549755969721e-08
"ENSG00000125551",13.1272493698854,-5.79336199488658,0.920889837995174,-6.29104780599929,3.15330196929801e-10,2.67733186072473e-08
"ENSG00000198788",12552.1020808176,4.12871929685236,0.658489044333429,6.26998935271847,3.61072794577921e-10,3.03706088897317e-08
"ENSG00000145681",97.9695048337542,3.86151385995494,0.617341276552092,6.25507155705164,3.97333687686487e-10,3.31111406405406e-08
"ENSG00000143845",117.931157725474,-3.01374728049923,0.482546748760227,-6.24550323516268,4.2243778976039e-10,3.48801844756286e-08
"ENSG00000171509",11.9371912395661,-1.79443769867586,0.288280420563871,-6.22462564459276,4.82707179017153e-10,3.9494223737767e-08
"ENSG00000151726",1377.52801717045,-2.32139298085252,0.374869284709271,-6.1925398413286,5.92023783109939e-10,4.80019283602653e-08
"ENSG00000237949",21.5281789753708,-7.66889846389726,1.23872731945232,-6.19094964926416,5.98028118222156e-10,4.80558309285661e-08
"ENSG00000155666",117.220428513912,-1.34822041772049,0.219778013600199,-6.13446447911325,8.54465323615876e-10,6.80547602879901e-08
"ENSG00000256612",64.7405799695385,-2.7339705539808,0.446950965540904,-6.11693622962002,9.53915166327526e-10,7.53090920784889e-08
"ENSG00000175426",117.352753726153,3.08239024446359,0.50549097364166,6.09781461033305,1.07528347222776e-09,8.41526195656511e-08
"ENSG00000115226",135.410959660889,-3.08686752011361,0.508506166420307,-6.07046231483091,1.2754254440299e-09,9.89554223816299e-08
"ENSG00000186301",139.183235775503,-2.41358556624731,0.399440214571326,-6.04242006238039,1.5181957371636e-09,1.16784287474123e-07
"ENSG00000134363",108.532625402699,-3.03368303774102,0.503963946068064,-6.01964299511873,1.74802174865692e-09,1.33323692694172e-07
"ENSG00000213398",189.932121292769,-2.59564296001282,0.432627014037306,-5.99972464916164,1.97652405439959e-09,1.49485012517616e-07
"ENSG00000235200",14.9466804075584,-7.41271208089079,1.23691445933586,-5.9929059968067,2.06124012553003e-09,1.54593009414752e-07
"ENSG00000108924",186.50324298407,-2.98784418460531,0.501456733370136,-5.95832897591169,2.54830139740967e-09,1.89543079146174e-07
"ENSG00000104722",9.2683990561075,3.58307081258473,0.607083298089685,5.90210737778426,3.58887445322841e-09,2.64753033434883e-07
"ENSG00000169856",17.7214729470835,-5.92283430068219,1.00547104209926,-5.89060654428823,3.8478069449907e-09,2.81546849633466e-07
"ENSG00000010379",13.2968666096925,-5.8419441780076,0.993091771418911,-5.88258240188693,4.03914127478152e-09,2.93163479621239e-07
"ENSG00000256847",15.7993449330973,-8.04772291806877,1.3759709521589,-5.84875931097373,4.95253102464226e-09,3.56582233774243e-07
"ENSG00000196177",1373.93558778492,-2.17953589504331,0.37315024450335,-5.84090705325464,5.19173659595556e-09,3.7083832828254e-07
"ENSG00000106018",20.0180208174132,2.71619521457804,0.473788189388922,5.73293145631449,9.87095315385807e-09,6.99516365234037e-07
"ENSG00000189058",107.022594651684,2.08334624468509,0.363866717147093,5.72557518043865,1.03083882121345e-08,7.24808546165706e-07
"ENSG00000141052",97.0864255291675,2.20894296357545,0.385999984384584,5.72265039620988,1.04874933345966e-08,7.31685581483483e-07
"ENSG00000116285",1521.26110824722,-1.65005223052992,0.288623852980508,-5.7169641853591,1.08443961736814e-08,7.47501163657644e-07
"ENSG00000169738",953.477916072664,-1.59083419911185,0.278292902077311,-5.71640234888173,1.08802947154613e-08,7.47501163657644e-07
"ENSG00000211448",89.6224270126033,2.41338101261256,0.42389187725227,5.69338820138864,1.24542777212668e-08,8.49155299177285e-07
"ENSG00000135744",1352.12780131924,-3.46859052493695,0.610398789236367,-5.68249902539337,1.32740670349824e-08,8.98245137705578e-07
"ENSG00000237517",13.9533189587261,-3.14670190508831,0.554417149854966,-5.67569366480001,1.38127772363826e-08,9.27723844234653e-07
"ENSG00000265158",10.916929856003,-3.12873681926187,0.55154876432687,-5.67263861624329,1.40614658105808e-08,9.37431054038721e-07
"ENSG00000108515",120.033068253922,-1.46302432609978,0.258136709931701,-5.66763373751403,1.44783039727533e-08,9.58123057020441e-07
"ENSG00000137561",174.595505901756,-2.29595012419796,0.405399200878579,-5.66343031565477,1.48376442289615e-08,9.74735752267542e-07
"ENSG00000104321",144.982994329139,3.06539969283734,0.543477753836905,5.64034069692068,1.69714021212267e-08,1.10683057312348e-06
"ENSG00000141314",12.8792793579964,2.22339556798778,0.395215896840411,5.62577463549144,1.84677326447678e-08,1.19575247340223e-06
"ENSG00000160323",144.266816098638,-1.34553763519284,0.239671560881337,-5.61408967440664,1.97599726049846e-08,1.27028395317758e-06
"ENSG00000281162",13.3488159821188,-3.90083096527613,0.697223810088215,-5.59480457900969,2.20870406765463e-08,1.4098111070136e-06
"ENSG00000237767",13.7355379413606,-7.92387919453997,1.42027287756601,-5.57912449058345,2.41732193481075e-08,1.52139142750327e-06
"ENSG00000243649",1388.11868003751,-2.90596278382045,0.520762354144275,-5.58020901605987,2.4022972745075e-08,1.52139142750327e-06
"ENSG00000135144",120.908151672493,-1.93463889674832,0.347050578182429,-5.57451569993168,2.4821942097168e-08,1.551371381073e-06
"ENSG00000168234",165.788779625199,-1.68069056691064,0.301745308025031,-5.56989793117586,2.54888609778368e-08,1.58206723310711e-06
"ENSG00000169218",11.7359924558368,3.03601332109014,0.553214661684354,5.48794804506174,4.06629617572886e-08,2.50662093024381e-06
"ENSG00000112769",1270.34256624403,1.34230599555483,0.244939545001584,5.48015223734554,4.24960020871823e-08,2.60179604615402e-06
"ENSG00000197253",127.690940196959,2.30467211986132,0.420958951550717,5.47481437648832,4.37970459745631e-08,2.65633752821097e-06
"ENSG00000225670",13.2963166649553,3.53277600364156,0.645363437007545,5.47408762421143,4.39771435226039e-08,2.65633752821097e-06
"ENSG00000130032",12.4023636165034,2.60734529731151,0.47657715830081,5.47098250912349,4.47547471097038e-08,2.68528482658223e-06
"ENSG00000073150",17.4132816682347,-3.04941421884737,0.559067541981967,-5.45446478262143,4.91205686122989e-08,2.92771601000457e-06
"ENSG00000143819",1567.00047670286,-1.66101685851326,0.305263915172259,-5.44124862441063,5.29084117806096e-08,3.13273490806241e-06
"ENSG00000166923",1507.91753498663,2.09915347318245,0.386916330742435,5.42534213832351,5.78436328292156e-08,3.40256663701268e-06
"ENSG00000173110",122.857915586323,-1.91267007609192,0.35267958360846,-5.42325148658262,5.85245615014675e-08,3.42026658125459e-06
"ENSG00000123560",165.93011622147,3.86996618862444,0.715483656116021,5.40888132879572,6.34196335524333e-08,3.68243033530258e-06
"ENSG00000198732",182.270298523776,-2.47993247661901,0.459199977250801,-5.40055008596951,6.64368584375711e-08,3.83289567909064e-06
"ENSG00000181291",11.6452395647382,-2.07322005629272,0.384531034650199,-5.39155456770529,6.98507406774744e-08,4.00418258660681e-06
"ENSG00000166741",1817.42893901634,-2.94942406454323,0.549284512706674,-5.36957441237429,7.89226674921606e-08,4.49559498373067e-06
"ENSG00000248740",14.6844519454922,-6.95732305229316,1.29861633007007,-5.35748926853379,8.43863782807099e-08,4.7765874498515e-06
"ENSG00000169760",12.2774291975825,4.27085133969634,0.797762360478576,5.35353828567979,8.62507752751637e-08,4.85160610922796e-06
"ENSG00000047617",10.1644451090432,1.83605337794288,0.343482344624323,5.34540830606891,9.02134586093631e-08,5.02811368514445e-06
"ENSG00000103154",5.66475535232129,-3.03189606220571,0.567258586371893,-5.34482180621943,9.05060463326002e-08,5.02811368514445e-06
"ENSG00000115705",18.8816551856044,2.96813223979813,0.556694256584749,5.33170982939047,9.72923151195259e-08,5.37196831948303e-06
"ENSG00000183230",12.7484751068122,-2.51583835312372,0.47402316868706,-5.30741642880461,1.11189956595853e-07,6.10188786196756e-06
"ENSG00000275830",1.76800044654828,-4.05137646463569,0.768222159140259,-5.27370424874193,1.33697302865331e-07,7.29258015629079e-06
"ENSG00000100302",162.826675699641,2.25100138499285,0.428241244460255,5.25638624049387,1.46913581182228e-07,7.96519416048225e-06
"ENSG00000119711",1045.78533952943,-1.94707348251104,0.37114508718641,-5.24612489760133,1.55331620904733e-07,8.37116519845866e-06
"ENSG00000138316",136.814496426022,1.52235507039474,0.292100219390382,5.21175599789662,1.87061482550576e-07,1.00211508509237e-05
"ENSG00000134042",20.1678516416958,-1.98769329121211,0.38256188419265,-5.1957431551418,2.03903622125582e-07,1.08587727759186e-05
"ENSG00000232680",11.090967587897,3.14509491632732,0.607386091570388,5.17808188230936,2.24178840545183e-07,1.18682915582744e-05
"ENSG00000174567",130.278069247693,-2.02178655094267,0.390740449287049,-5.17424432159928,2.28835227128904e-07,1.20439593225739e-05
"ENSG00000137106",1491.17284490122,-1.14615049964484,0.222067236378479,-5.16127691025706,2.45271058656329e-07,1.28339507436451e-05
"ENSG00000102970",8.94832462473389,-3.47190398330954,0.672907274113676,-5.15955781260142,2.47533780000762e-07,1.28774798844327e-05
"ENSG00000235961",14.7700052995332,-2.37160238164395,0.46027375003641,-5.15259099928325,2.56911880410088e-07,1.32885455384529e-05
"ENSG00000170624",131.314231994446,1.70433370695174,0.330945845181583,5.14988700346612,2.60643438896757e-07,1.34045197146903e-05
"ENSG00000171864",9.74018439504857,2.80123772667222,0.545254594850704,5.13748577843572,2.78438531894406e-07,1.42383340173276e-05
"ENSG00000134463",129.137100588367,-2.85245862466235,0.556559796961424,-5.12516110620196,2.97283435438026e-07,1.51161068866793e-05
"ENSG00000146555",122.870668617151,1.9655082362784,0.383668280650604,5.12293649333064,3.00813687492924e-07,1.52096808282939e-05
"ENSG00000095587",14.8876022061998,1.71873502392846,0.336152547726452,5.1129614680984,3.17147008571635e-07,1.59459389784621e-05
"ENSG00000239799",1.9705828341473,-4.706344362451,0.922207980073333,-5.10334378377072,3.3370398935855e-07,1.66851994679275e-05
"ENSG00000272841",15.8156282092289,1.65664251849052,0.324862855342086,5.09951350623341,3.4052757206327e-07,1.69323102130908e-05
"ENSG00000267385",10.8125718761996,-3.04641161020409,0.599184699658062,-5.08426135036926,3.69059475423352e-07,1.82501938396163e-05
"ENSG00000270412",14.1325049448267,2.08450033490308,0.41014471604322,5.0823532606072,3.72787278264842e-07,1.83338005704021e-05
"ENSG00000157613",1450.86902482602,1.58688326803158,0.31263604282517,5.07581676665152,3.85834979805498e-07,1.88723631426602e-05
"ENSG00000188582",15.2048170325112,-7.83592859276605,1.54424650689879,-5.07427315377415,3.88979957136271e-07,1.89233492660889e-05
"ENSG00000134245",157.790429811098,1.59426325655539,0.314573274719395,5.06801875644871,4.0197780285338e-07,1.94505388477442e-05
"ENSG00000250436",14.6729267374711,-7.12513221814966,1.40618645811557,-5.06698964211195,4.04156265575373e-07,1.94513710704725e-05
"ENSG00000175785",95.894389348473,3.22579708989312,0.637605571518949,5.0592360449555,4.20939525645788e-07,2.01513602702771e-05
"ENSG00000188175",899.519131307711,3.16666764750537,0.636094065455127,4.97830088265265,6.41448866718016e-07,3.05451841294293e-05
"ENSG00000120054",127.038483918964,-5.51831625592148,1.10870493442992,-4.97726318748541,6.44896077193985e-07,3.05477089197151e-05
"ENSG00000118729",51.5961067955459,3.02858389079135,0.609842521012004,4.96617370295132,6.8286795788498e-07,3.20094355258584e-05
"ENSG00000253944",9.7537742164183,-3.3325726250418,0.670929266910543,-4.96709979635773,6.79616187535315e-07,3.20094355258584e-05
"ENSG00000184908",14.8666715256734,3.76693592290629,0.759240580775772,4.96145229626337,6.99680551016251e-07,3.26275904618977e-05
"ENSG00000133687",152.943784482924,1.72947319886833,0.349065772878946,4.95457685411083,7.2487861948924e-07,3.36283895639338e-05
"ENSG00000177990",15.6897257654843,1.89899350267807,0.384010918974742,4.94515496524975,7.60833162733763e-07,3.51153767415583e-05
"ENSG00000165874",11.6235855947291,-2.30012478027245,0.465948699856065,-4.93643351936163,7.95641417579858e-07,3.6534554888871e-05
"ENSG00000205403",1170.53118711035,-2.75395178602352,0.558259232148246,-4.93310567462717,8.09323393777572e-07,3.69741651979602e-05
"ENSG00000120693",183.369557727113,1.63408585401278,0.331663632904751,4.92693708894538,8.35286338770947e-07,3.79675608532249e-05
"ENSG00000100628",120.035917860289,1.70557994154203,0.346528174985819,4.92190841801487,8.5704321150893e-07,3.87607482591978e-05
"ENSG00000165140",1100.01991039634,-1.74728148386611,0.355786737152603,-4.91103602638417,9.05964393564588e-07,4.07683977104065e-05
"ENSG00000144857",143.601405891221,1.92542557831547,0.392632978993781,4.90388143973501,9.39612152997656e-07,4.20721859551189e-05
"ENSG00000258604",11.619850192464,-3.22393522220806,0.658395131991125,-4.89665713726984,9.74807024742167e-07,4.34319961518787e-05
"ENSG00000249173",19.5239914886903,-6.45631588491726,1.32494644627412,-4.87288818583803,1.09978474363998e-06,4.87589295209844e-05
"ENSG00000174945",11.1823041990103,-1.8729672597226,0.384682951629315,-4.86885954209744,1.12244150342071e-06,4.95194780920902e-05
"ENSG00000137273",136.972275329175,2.01636081065914,0.414922602302964,4.85960706760162,1.17618959934337e-06,5.14469902565423e-05
"ENSG00000165300",13.7352859738365,2.59043118196804,0.533079001201858,4.8593757700599,1.17756444364975e-06,5.14469902565423e-05
"ENSG00000140961",159.56441923678,-1.51354801416837,0.311805054784437,-4.85414842044415,1.20905161744854e-06,5.25063006637953e-05
"ENSG00000165072",156.117490761744,2.92303051527751,0.602261527224622,4.85342394150196,1.21347894867438e-06,5.25063006637953e-05
"ENSG00000133392",3942.51779084137,2.03206416186685,0.41882946431408,4.85176983714548,1.22364580631082e-06,5.26928816114705e-05
"ENSG00000198795",105.861321578359,1.47294092137862,0.304433616086787,4.83829920069904,1.30954905216785e-06,5.61235308071935e-05
"ENSG00000109132",13.3548561749589,4.34640152137665,0.898938770032617,4.83503622968553,1.33121387722211e-06,5.65137966745236e-05
"ENSG00000120820",119.817913240687,1.37081576357858,0.283479911340427,4.83567162518401,1.32696825605446e-06,5.65137966745236e-05
"ENSG00000136371",143.359145213238,-1.06217693217893,0.219974185515757,-4.82864355055356,1.37466220410304e-06,5.781289643424e-05
